[00:00.000 --> 00:06.000]  When the Alchemist was first published 25 years ago in my native Brazil, no one noticed.
[00:06.000 --> 00:12.500]  A bookseller in the northeast corner of the country told me that only one person purchased a copy the first week of its release.
[00:12.500 --> 00:19.000]  It took another six months for the bookseller to unload a second copy, and that was to the same person who bought the first.
[00:19.000 --> 00:21.800]  And who knows how long it took to sell the third?
[00:21.800 --> 00:26.500]  By the end of the year, it was clear to everyone that the Alchemist wasn't working.
[00:26.600 --> 00:31.000]  My original publisher decided to cut me loose and cancelled our contract.
[00:31.000 --> 00:34.500]  They wiped their hands of the project and let me take the book with me.
[00:34.500 --> 00:40.500]  I was 41 and desperate, but I never lost faith in the book or ever wavered in my vision.
[00:40.500 --> 00:44.500]  Why? Because it was me in there, all of me heart and soul.
[00:44.500 --> 00:47.000]  I was living my own metaphor.
[00:47.000 --> 00:53.500]  A man sets out on a journey, dreaming of a beautiful or magical place, in pursuit of some unknown treasure.
[00:54.000 --> 00:59.000]  At the end of his journey, the man realizes the treasure was with him the entire time.
[00:59.000 --> 01:04.000]  I was following my personal legend, and my treasure was my capacity to write.
[01:04.000 --> 01:07.000]  And I wanted to share this treasure with the world.
[01:07.000 --> 01:12.000]  As I wrote in the Alchemist, when you want something, the whole universe conspires to help you.
[01:12.000 --> 01:15.500]  I started knocking on the doors of other publishers.
[01:15.500 --> 01:22.000]  One opened, and the publisher on the other side believed in me and my book and agreed to give the Alchemist a second chance.
[01:22.000 --> 01:29.500]  Slowly through word of mouth it finally started to sell, 3,000, then 6,000, 10,000, book by book, gradually throughout the year.
[01:29.500 --> 01:35.500]  Eight months later, an American visiting Brazil picked up a copy of the Alchemist in a local bookstore.
[01:35.500 --> 01:40.000]  He wanted to translate the book and help me find a publisher in the United States.
[01:40.000 --> 01:45.500]  Harper Collins agreed to bring it to an American audience, publishing it with great fanfare.
[01:45.500 --> 01:51.000]  Adds in the New York Times and influential news magazines, radio and television interviews.
[01:51.000 --> 01:58.000]  But it still took some time to sell, slowly finding its audience in the United States by word of mouth, just as it did in Brazil.
[01:58.000 --> 02:03.000]  And then one day, Bill Clinton was photographed leaving the White House with a copy.
[02:03.000 --> 02:12.500]  Then Madonna raved about the book to Vanity Fair, and people from different walks of life, from Rush Limbaugh and Will Smith to college students and soccer moms, were suddenly talking about it.
[02:12.500 --> 02:16.500]  The Alchemist became a spontaneous and organic phenomenon.
[02:16.500 --> 02:24.000]  The book hit the New York Times bestseller list, an important milestone for any author, and stayed there for more than 300 weeks.
[02:24.000 --> 02:33.500]  It has since been translated into more than 80 different languages, the most translated book by any living author, and is widely considered one of the 10 best books of the 20th century.
[02:33.500 --> 02:38.500]  People continue to ask me if I knew the Alchemist would be such a huge success.
[02:38.500 --> 02:41.500]  The answer is no. I had no idea.
[02:41.500 --> 02:51.500]  How could I? When I sat down to write the Alchemist, all I knew is that I wanted to write about my soul. I wanted to write about my quest to find my treasure.
[02:51.500 --> 02:56.500]  I wanted to follow the omens, because I knew even then that the omens are the language of God.
[02:56.500 --> 03:04.500]  Though the Alchemist is now celebrating its 25th anniversary, it is no relic of the past. The book is still very much alive.
[03:04.500 --> 03:12.500]  Like my heart and like my soul, it continues to live every day because my heart and soul are in it. And my heart and soul is your heart and soul.
[03:12.500 --> 03:21.500]  I am Santiago the Shepherd Boy in search of my treasure. Just as you are Santiago the Shepherd Boy in search of your own. The story of one person is the story of everyone.
[03:21.500 --> 03:31.500]  And one man's quest is the quest of all of humanity, which is why I believe the Alchemist continues all these years later to resonate with people from different cultures all around the world,
[03:31.500 --> 03:41.500]  touching them emotionally and spiritually, equally, without prejudice. I reread the Alchemist regularly and every time I do I experience the same sensations I felt when I wrote it.
[03:41.500 --> 03:51.500]  And here is what I feel. I feel happiness, because it is all of me, and all of you simultaneously. I feel happiness too, because I know I can never be alone.
[03:51.500 --> 04:07.500]  Wherever I go, people understand me. They understand my soul. This continues to give me hope. When I read about clashes around the world, political clashes, economic clashes, cultural clashes, I am reminded that it is within our power to build a bridge to be crossed.
[04:07.500 --> 04:27.500]  Even if my neighbor doesn't understand my religion or understand my politics, he can understand my story. If he can understand my story, then he is never too far from me. It is always within my power to build a bridge. There is always a chance for reconciliation, a chance that one day he and I will sit around a table together and put an end to our history of clashes.
[04:27.500 --> 04:33.500]  And on this day, he will tell me his story and I will tell him mine. Paulo Kuala 2014.
